ts,run_id,event,strategy,asset,slug,left_s,bn_px,up_ask,up_bid,up_spread,up_bid_sz,up_ask_sz,up_n_bids,up_n_asks,up_age_ms,dn_ask,dn_bid,dn_spread,dn_bid_sz,dn_ask_sz,dn_n_bids,dn_n_asks,dn_age_ms,fill_up,fill_dn,cost_up,cost_dn,dump_side,dump_px,dump_bid,dump_bid_src,dump_rec,cl_open,cl_close,cl_delta_pct,settle_dir,settle_src,clob_up_bid,clob_dn_bid,entry_fees,dump_fee,pnl,cum_pnl,cap,w,l,flags,
2026-03-08T20:40:00.993665250+00:00,R0308_200647,SETTLE,S3,sol,sol-updown-5m-1773002100,0,82.66,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.099,,,82.56,82.71,0.1901,UP,CL,0.999,0,0.3087,0.058,0.0786,16.5487,116.5487,16,4,,,
2026-03-08T20:40:10.617741531+00:00,R0308_200647,ENTRY,S3,btc,btc-updown-5m-1773002400,290,67381.44,0.51,0.5,0.01,39,125.7,50,49,0,0.5,0.49,0.01,125.7,39,49,50,0,0.511,0.501,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:40:10.618338591+00:00,R0308_200647,ENTRY,S3,eth,eth-updown-5m-1773002400,290,1965.92,0.49,0.48,0.01,10,199.1,48,51,0,0.52,0.51,0.01,199.1,10,51,48,0,0.491,0.521,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:40:16.882648330+00:00,R0308_200647,ENTRY,S3,sol,sol-updown-5m-1773002400,284,82.7,0.49,0.48,0.01,147.6,25.3,48,51,0,0.52,0.51,0.01,25.3,147.6,51,48,0,0.491,0.521,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:40:43.369394899+00:00,R0308_200647,ENTRY,S3,xrp,xrp-updown-5m-1773002400,257,1.36,0.49,0.48,0.01,23.7,72.7,48,49,0,0.52,0.51,0.01,72.7,23.7,49,48,0,0.491,0.521,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:44:33.850588884+00:00,R0308_200647,DUMP,S3,eth,eth-updown-5m-1773002400,27,1965.66,,,,,,,,,,,,,60,,30,68,,,,,UP,0.299,0.3,REAL,3.0448,1966.42,1965.39,-0.0524,,,,,,,,,,,,,TAKER_FORCE
2026-03-08T20:44:33.850700051+00:00,R0308_200647,DUMP,S3,btc,btc-updown-5m-1773002400,27,67357.45,,,,,,,,,,,,,635.9,,25,73,,,,,UP,0.22,0.25,REAL,2.1526,67398.32,67356.61,-0.0619,,,,,,,,,,,,,MAKER_FILL
2026-03-08T20:44:33.850774764+00:00,R0308_200647,DUMP,S3,sol,sol-updown-5m-1773002400,27,82.71,,,,,,,,,,,,,10,,26,73,,,,,DN,0.26,0.26,REAL,2.4952,82.71,82.71,0.0008,,,,,,,,,,,,,MAKER_FILL
2026-03-08T20:44:33.850831829+00:00,R0308_200647,DUMP,S3,xrp,xrp-updown-5m-1773002400,27,1.36,,,,,,,,,,,,,26,,11,28,,,,,UP,0.129,0.13,REAL,1.3136,1.36,1.36,-0.0801,,,,,,,,,,,,,TAKER_FORCE
2026-03-08T20:45:01.020177255+00:00,R0308_200647,SETTLE,S3,eth,eth-updown-5m-1773002400,0,1964.87,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.299,,,1966.42,1965.36,-0.0535,DOWN,CL,0,0.99,0.3088,0.1334,2.1996,20.0983,120.0983,19,5,,,
2026-03-08T20:45:01.020347432+00:00,R0308_200647,SETTLE,S3,btc,btc-updown-5m-1773002400,0,67342.76,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.22,,,67398.32,67346.29,-0.0772,DOWN,CL,0,0.99,0.3087,0.1049,1.719,19.6177,119.6177,19,5,,,
